Discipline,Sorcery Path,Level,Power Name,Description,System,Source book,Page
Thaumaturgy,Elemental Mastery,5,Summon Elemental,"A vampire may summon one of the traditional spirits
of the elements: a salamander (fire), a sylph (air),
a gnome (earth), or an undine (water). Some thaumaturges
claim to have contacted elemental spirits of
glass, electricity, blood, and even atomic energy, but
such reports remain unconfirmed (even as their authors
are summoned to Vienna for questioning). The
caster may choose what type of elemental he wishes to
summon and command.","The character must be near some quantity
of the classical element corresponding to the spirit
he wishes to invoke. The spirit invoked may or may
not actually follow the caster’s instructions once summoned,
but generally will at least pay rough attention
to what it’s being told to do. The number of successes
gained on the Willpower roll determines the power
level of the elemental.
The elemental has three dots in all Physical and
Mental Attributes. One dot may be added to one of
the elemental’s Physical Attributes for each success
gained by the caster on the initial roll. The Storyteller
should determine the elemental’s Abilities, attacks,
and damage, and any special powers it has related to
its element.
Once the elemental has been summoned, the thaumaturge
must exert control over it. The more powerful
the elemental, the more difficult a task this is. The
player rolls Manipulation + Occult (difficulty of the
number of successes scored on the casting roll + 4),
and the number of successes determines the degree of
control:
Successes Result
Botch The elemental immediately attacks
the thaumaturge.
Failure The elemental goes free and may
attack anyone or leave the scene
at the Storyteller’s discretion.
1 success The elemental does not attack its
summoner.
2 successes The elemental behaves favorably
toward the summoner and may
perform a service in exchange forpayment (determined by the
Storyteller).
3 successes The elemental performs one service,
within reason.
4 successes The elemental performs any one task
for the caster that does not jeopardize
its own existence.
5 successes The elemental performs any task that
the caster sets for it, even one that
may take several nights to complete
or that places its existence at risk. payment (determined by the
Storyteller).
3 successes The elemental performs one service,
within reason.
4 successes The elemental performs any one task
for the caster that does not jeopardize
its own existence.
5 successes The elemental performs any task that
the caster sets for it, even one that
may take several nights to complete
or that places its existence at risk.",V20 Corebook,215
Thaumaturgy,The Green Path,1,"Herbal Wisdom
","With a touch, a vampire can commune with the
spirit of a plant. Conversations held in this manner are
often cryptic but rewarding — the wisdom and experience
of the spirits of some trees surpasses that of the
oracles of legend. Crabgrass, on the other hand, rarely
has much insight to offer, but might reveal the appearance
of the last person who trod upon it."," The number of successes rolled determines
the amount of information that can be gained from the
contact. Depending on the precise information that
the vampire seeks, the Storyteller might require the
player to roll Intelligence + Occult in order to interpret
the results of the communication.
Successes Result
1 success Fleeting cryptic impressions
2 successes One or two clear images
3 successes A concise answer to a simple query
4 successes A detailed response to one or more
complex questions
5 successes The sum total of the plant-spirit’s
knowledge on a given subject ",V20 Corebook,215
Thaumaturgy,The Green Path,2,Speed the Seasons Passing,"This power allows a thaumaturge to accelerate a plant’s
growth, causing roses to bloom in a matter of minutes or
trees to shoot up from saplings overnight. Alternately,
she can speed a plant’s death and decay, withering grass
and crumbling wooden stakes with but a touch.","The character touches the target plant. The
player rolls normally, and the number of successes determines
the amount of growth or decay. One success
gives the plant a brief growth spurt or simulates the effects
of harsh weather, while three noticeably enlarge
or wither it. With five successes, a full-grown plant
springs from a seed or crumbles to dust in a few minutes,
and a tree sprouts fruit or begins decaying almost
instantaneously. If this power is used in combat, three
successes are needed to render a wooden weapon completely
useless. Two successes suffice to weaken it, while
five cause it to disintegrate in the wielder’s hand.",V20 Corebook,216
Thaumaturgy,The Green Path,3,Dance of Vines,"The thaumaturge can animate a mass of vegetation
up to his own size, using it for utilitarian or combat purposes
with equal ease. Leaves can walk along a desktop,
ivy can act as a scribe, and jungle creepers can strangle
opponents. Intruders should beware of Tremere workshops
that harbor potted rowan saplings."," Any total amount of vegetation with a mass
less than or equal to the character’s own may be animated
through this power. The plants stay active for one turn
per success scored on the roll, and are under the complete
control of the character. If used for combat purposes, the
plants have Strength and Dexterity ratings each equal
to half the character’s Willpower (rounded down) and
Brawl ratings one lower than that of the character.
Dance of Vines cannot make plants uproot themselves
and go stomping about. Even the most energetic
vegetation is incapable of pulling out of the soil and
walking under the effect of this power. However, 200
pounds (100 kilograms) of kudzu can cover a considerable
area all by itself….",V20 Corebook,216
Thaumaturgy,The Green Path,4,Verdant Haven,"This power weaves a temporary shelter out of a sufficient
amount of plant matter. In addition to providing physical
protection from the elements (and even sunlight), the
Verdant Haven also establishes a mystical barrier which
is nearly impassable to anyone the caster wishes to exclude.
A Verdant Haven appears as a six-foot-tall (twometer-
tall) hemisphere of interlocked branches, leaves, and vines with no discernible opening, and even to the
casual observer it appears to be an unnatural construction.
Verdant Havens are rumored to have supernatural
healing properties, hut no Kindred have reported experiencing
such benefits from a stay in one."," A character must be standing in a heavily
vegetated area to use this power. The Verdant Haven
springs up around the character over the course of three
turns. Once the haven is established, anyone wishing
to enter the haven without the caster’s permission
must achieve more than the caster’s original number of
successes on a single roll of Wits + Survival (difficulty
equal to the caster’s Willpower). The haven lasts until
the next sunset, or until the caster dispels or leaves it.
If the caster scored four or more successes, the haven is
impenetrable to sunlight unless physically breached.",V20 Corebook,216
Thaumaturgy,The Green Path,5,Awaken the Forest Giants,"Entire trees can be animated by a master of the
Green Path. Ancient oaks can be temporarily given
the gift of movement, pulling their roots from the soil
and shaking the ground with their steps. While not as
versatile as elementals or other summoned spirits, trees
brought to ponderous life via this power display awesome
strength and resilience."," The character touches the tree to be animated.
The player spends a blood point and rolls normally.
If the roll succeeds, the player must spend a blood
point for every success. The tree stays animated for one
turn per success rolled; once this time expires, the tree
puts its roots down wherever it stands and cannot be
animated again until the next night. While animated,
the tree follows the character’s verbal commands to
the best of its ability. An animated tree has Strength
and Stamina equal to the caster’s Thaumaturgy rating,
Dexterity 2, and a Brawl rating equal to the caster’s
own. It is immune to bashing damage, and all lethal
damage dice pools are halved due to its size.
Once the animating energy leaves a tree, it puts
down roots immediately, regardless of what it is currently
standing on. A tree re-establishing itself in the
soil can punch through concrete and asphalt to find
nourishing dirt and water underneath, meaning that it
is entirely possible for a sycamore to root itself in the
middle of a road without any warning.",V20 Corebook,217
Thaumaturgy,Hands of Destruction,1,Decay,"This power accelerates the decrepitude of its target,
causing it to wither, rot, or otherwise break down. The
target must be inanimate, though dead organic matter
can be affected."," If the roll is successful, the inanimate object
touched by the thaumaturge ages 10 years for every
minute the Kindred touches it. If the vampire breaks
physical contact and wishes to age the object again,
another blood point must be spent and another roll
must be made. This power does not affect vampires.",V20 Corebook,217
Thaumaturgy,Hands of Destruction,2,Gnarl Wood,"This power warps and bends wooden objects.
Though the wood is otherwise undamaged, this power
often leaves the objects completely useless. This power
may also be used to swell or contract wood, in addition
to bending it into unwholesome shapes. Unlike
other powers of this path, Gnarl Wood requires merely
a glance rather than physical contact."," Fifty pounds or twenty-five kilograms of visible
wood may be gnarled for each blood point spent
on this power (the thaumaturge may expend as much
blood as she likes on this power, up to her per-turn
generational maximum). It is also possible to warp
multiple visible objects — like all the stakes a team of
vampire-hunters wields.",V20 Corebook,217
Thaumaturgy,Hands of Destruction,3,Acidic Touch,"The vampire secretes a bilious, acidic fluid from any
portion of his body. The viscous acid corrodes metal,
destroys wood, and causes horrendous chemical burns
to living tissue.","The player spends one blood point to create
the acid — the blood literally transmutes into the volatile
secretion. One blood point creates enough acid to
burn through a quarter-inch or half a centimeter of steel
plate or three inches (seven centimeters) of wood. The
damage from an acid-augmented hand-to-hand attack
is aggravated and costs one blood point per turn to use.
A thaumaturge is immune to her own acidic touch.",V20 Corebook,217
Thaumaturgy,Hands of Destruction,4,Atrophy,"This power withers a victim’s limb, leaving only a desiccated,
almost mummified husk of bone and skin. The effects
are instantaneous; in mortals, they are also irreversible."," The victim may resist the effects of Atrophy
by scoring three or more successes on a Stamina + Athletics
roll (difficulty 8). Failure means the limb is permanently
and completely crippled. Partial resistance
is possible: One success indicates that the difficulty of
any roll involving the use of the arm increases by two,
though these effects are still permanent with regard to
mortals. Two successes signify that difficulties increase
by one. Vampires afflicted by this power may spend five
blood points to rejuvenate atrophied limbs. Mortals are
permanently crippled. This power affects only limbs or
parts of limbs (arms, legs, hands); it does not work on
victims’ heads, torsos, etc.",V20 Corebook,217
Thaumaturgy,Hands of Destruction,5,Turn to Dust,"This fearsome power accelerates decrepitude in its
victims. Mortals literally age at the mere touch of a
skilled thaumaturge, gaining decades in moments."," Each success on the roll ages the victim by
10 years. A potential victim may resist with a Stamina
+ Courage roll (difficulty 8), but must accumulate
more successes than the caster’s activation roll — it’s
an all-or-nothing affair. If the victim succeeds, he does
not age at all. If he does not acquire more successes
than the thaumaturge, he ages the full amount. Obviously,
this power, while it affects vampires, has no detrimental
effect on them (they’re immortal). At most, a
Kindred victim grows paler and withers slightly (-1 to
Appearance) for one night.",V20 Corebook,218
Thaumaturgy,Neptune's Might,1,Eyes of the Sea,"The thaumaturge may peer into a body of water and
view events that have transpired on, in, or around it
from the water’s perspective. Some older practitioners
of this art claim that the vampire communes with the
spirits of the waters when using this power; younger
Kindred scoff at such claims."," The number of successes rolled determines
how far into the past the character can look.
Successes Result
1 success One day
2 successes One week
3 successes One month
4 successes One year
5 successes 10 years
The Storyteller may require a Perception + Occult
roll for the character to discern very small details in the
transmitted images. This power can only he used on
standing water; lakes and puddles qualify, but oceans,
rivers, sewers, and wine glasses do not.",V20 Corebook,219
Thaumaturgy,Neptune's Might,2,Prison of Water,"The thaumaturge can command a sufficiently large
quantity of water to animate itself and imprison a subject.
This power requires a significant amount of fluid
to be fully effective, although even a few gallons can be
used to shape chains of animated water."," The number of successes scored on the roll
is the number of successes the victim must score on a
Strength roll (difficulty 8; Potence can add to this roll)
to break free. A subject may be held in only one prison
at a time, although the caster is free to invoke multiple
uses of this power upon separate victims and may dissolve
these prisons at will. If a sufficient quantity of
water (at least a bathtub’s worth) is not present, the
difficulty of the Willpower roll to activate this power
is raised by one.",V20 Corebook,219
Thaumaturgy,Neptune's Might,3,Blood to Water,"The thaumaturge has now attained enough power
over water that she can transmute other liquids to this
basic element. The most commonly seen use of this
power is as an assault; with but a touch, the victim’s
blood transforms to water, weakening vampires and
killing mortals in moments."," The character must touch her intended victim.
The player rolls Willpower normally. Each success
converts one of the victim’s blood points to water. One
success kills a mortal within minutes. Vampires who
lose blood points to this power also suffer dice pool
penalties as if they had received an equivalent number
of health levels of injury. The water left in the target’s
system by this attack evaporates out at a rate of one
blood point’s worth per hour, but the lost blood does
not return.
At the Storyteller’s discretion, other liquids may be
turned to water with this power (the difficulty for such
an action is reduced by one unless the substance is particularly
dangerous or magical in nature). The character
must still touch the substance or its container to use
this power.",V20 Corebook,219
Thaumaturgy,Neptune's Might,4,Flowing Wall,"Tales of vampires’ inability to cross running water
may have derived in part from garbled accounts of this
power in action. The thaumaturge can animate water
to an even greater degree than is possible with the use
of Prison of Water, commanding it to rise up to form a
barrier impassable to almost any being."," The character touches the surface of a
standing body of water; the player spends three Willpower
points and the normal required blood point and
rolls normally. Successes are applied to both width and
height of the wall; each success “buys” 10 feet/three
meters in one dimension. The wall may be placed anywhere
within the character’s line of sight, and must be
formed in a straight line. The wall lasts until the next
sunrise. It cannot be climbed, though it can be flown
over. To pass through the barrier, any supernatural being
(including beings trying to pass the wall on other
levels of existence, such as ghosts) must score at least
three successes on a single Willpower roll (difficulty
9).",V20 Corebook,219
Thaumaturgy,Neptune's Might,5,Dehydrate,"At this level of mastery, the thaumaturge can directly
attack living and unliving targets by removing the
water from their bodies. Victims killed by this power
leave behind hideous mummified corpses. This power
can also be used for less aggressive purposes, such as
drying out wet clothes — or evaporating puddles to
keep other practitioners of this path from using them."," This power can be used on any target in the
character’s line of sight. The player rolls normally; the
victim resists with a roll of Stamina + Fortitude (difficulty
9). Each success gained by the caster translates
into one health level of lethal damage inflicted on the
victim. This injury cannot be soaked (the resistance
roll replaces soak for this attack) but can be healed
normally. Vampires lose blood points instead of health
levels, though if a vampire has no blood points this attack
inflicts health level loss as it would against a mortal.
The victim of this attack must also roll Courage
(difficulty equal to the number of successes scored by
the caster + 3) to be able to act on the turn following
the attack; failure means he is overcome with agony
and can do nothing.",V20 Corebook,219
Thaumaturgy,The Path of Conjuring,1,Summon the Simple Form,"At this level of mastery, the conjurer may create
simple, inanimate objects. The object cannot have any
moving parts and may not be made of multiple materials.
For example, the conjurer may summon a steel
baton, a lead pipe, a wooden stake, or a chunk of granite."," Each turn the conjurer wishes to keep the
object in existence, another Willpower point must be
spent or the object vanishes.",V20 Corebook,221
Thaumaturgy,The Path of Conjuring,2,Permanency,"At this level, the conjurer no longer needs to pay
Willpower costs to keep an object in existence. The
object is permanent, though simple objects are still all
that may be created."," The player must invest three blood points
in an object to make it real.",V20 Corebook,221
Thaumaturgy,The Path of Conjuring,3,Magic of the Smith,"The Kindred may now conjure complex objects of
multiple components and with moving parts. For example,
the thaumaturge can create guns, bicycles,
chainsaws, or cellphones."," Objects created via Magic of the Smith are
automatically permanent and cost five blood points
to conjure. Particularly complex items often require a
Knowledge roll (Crafts, Science, Technology, etc.) in
addition to the basic roll.",V20 Corebook,221
Thaumaturgy,The Path of Conjuring,4,Reverse Conjuration,"This power allows the conjurer to “banish” into nonexistence
any object previously called forth via this
path."," This is an extended success roll. The conjurer
must accumulate as many successes as the original
caster received when creating the object in question.
This can also be used by the thaumaturge to banish
object she created herself with this Path.",V20 Corebook,221
Thaumaturgy,The Path of Conjuring,5,Power Over Life,"This power cannot create true life, though it can
summon forth impressive simulacra. Creatures (and
people) summoned with this power lack the free will
to act on their own, mindlessly following the simple
instructions of their conjurer instead. People created
in this way can be subject to the use of the Dominate
power Possession (p. 155), if desired."," The player spends 10 blood points. Imperfect
and impermanent, creatures summoned via this
path are too complex to exist for long. Within a week
after their conjuration, the simulacra vanish into insubstantiality.",V20 Corebook,221
Thaumaturgy,The Path of Corruption,1,Contradict,"The vampire can interrupt a subject’s thought processes,
forcing the victim to reverse his current course
of action. An Archon may be caused to execute a prisoner
she was about to exonerate and release; a mortal
lover might switch from gentle and caring to sadistic
and demanding in the middle of an encounter. The results
of Contradict are never precisely known to the
thaumaturge in advance, but they always take the form
of a more negative action than the subject had originally
intended to perform."," This power may be used on any subject
within the character’s line of sight. The player rolls as
per normal. The target rolls Perception + Subterfuge
(difficulty equal to the number of successes scored by
the caster + 2). Two successes allow the subject to realize that she is being influenced by some outside source.
Three successes let her pinpoint the source of the effect.
Four successes give her a moment of hesitation,
neither performing her original action nor its inverse,
while five allow her to carry through with the original
action.
The Storyteller dictates what the subject’s precise
reaction to this power is. Contradict cannot be used in
combat or to affect other actions (at the Storyteller’s
discretion) that are mainly physical and reflexive.",V20 Corebook,221
Thaumaturgy,The Path of Corruption,2,Subvert,"This power follows the same principle as does Contradict,
the release of a subject’s dark, self-destructive
side. However, Subvert’s effects are longer-lasting than
the momentary flare of Contradiction. Under the influence
of this power, victims act on their own suppressed
temptations, pursuing agendas that their morals
or self-control would forbid them to follow under
normal circumstances."," This power requires the character to make
eye contact (see p. 152) with the intended victim. The
player rolls normally. The target resists with a roll of
Perception + Subterfuge (difficulty equal to the target’s
Manipulation + Subterfuge). If the thaumaturge scores
more successes, the victim becomes inclined to follow
a repressed, shameful desire for the length of time described
below.
Successes Result
1 success Five minutes
2 successes One hour
3 successes One night
4 successes Three nights
5 successes One week
The Storyteller determines the precise desire or
agenda that the victim follows. It should be in keeping
with the Psychological Flaws that she possesses or
with the negative aspects of her Nature (for example,
a Loner desiring isolation to such an extent that she
becomes violent if forced to attend a social function).
The subject should not become fixated on following
this new agenda at all times, but should occasionally be
forced to spend a Willpower point if the opportunity to
succumb arises and she wishes to resist the impulse.",V20 Corebook,222
Thaumaturgy,The Path of Corruption,3,Dissociate,"“Divide and conquer” is a maxim that is well-understood
by the Tremere, and Dissociate is a powerful tool
with which to divide the Clan’s enemies. This power
is used to break the social ties of interpersonal relationships.
Even the most passionate affair or the oldest
friendship can be cooled through use of Dissociate, and
weaker personal ties can be destroyed altogether."," The character must touch the target. The
player rolls normally. The target resists with a Willpower
roll (difficulty of the thaumaturge’s Manipulation
+ Empathy). The victim loses three dice from
all Social rolls for a period of time determined by the
number of successes gained by the caster:
Successes Result
1 success Five minutes
2 successes One hour
3 successes One night
4 successes Three nights
5 successes One week
This penalty applies to all rolls that rely on Social
Attributes, even those required for the use of Disciplines.
If this power is used on a character who has
participated in the Vaulderie or a similar ritual, that
character’s Vinculum ratings are reduced by three for
the duration of Dissociate’s effect.
Dissociate’s primary effect falls under roleplaying
rather than game mechanics. Victims of this power
should be played as withdrawn, suspicious, and emotionally
distant. The Storyteller should feel free to require
a Willpower point expenditure for a player who
does not follow these guidelines.",V20 Corebook,223
Thaumaturgy,The Path of Corruption,4,Addiction,"This power is a much stronger and more potentially
damaging form of Subvert. Addiction creates just that
in the victim. By simply exposing the target to a particular
sensation, substance, or action, the caster creates
a powerful psychological dependence. Many thaumaturges
ensure that their victims become addicted to
substances or thrills that only the mystic can provide,
thus creating both a source of income and potential
blackmail material."," The subject must encounter or be exposed
to the sensation, substance, or action to which the
character wants to addict him. The thaumaturge then
touches his target. The player rolls normally; the victim
resists with a Self-Control/Instinct roll (difficulty
equal to the number of successes scored by the caster
+ 3). Failure gives the subject an instant addiction to
that object.
An addicted character must get his fix at least once
a night. Every night that he goes without satisfying his
desire imposes a cumulative penalty of one die on all of
his dice pools (to a minimum pool of one die). The victim
must roll Self-Control/Instinct (difficulty 8) every
time he is confronted with the object of his addiction
and wishes to keep from indulging. Addiction lasts for
a number of weeks equal to the thaumaturge’s Manipulation
score.
An individual may try to break the effects of Addiction.
This requires an extended Self-Control/Instinct
roll (difficulty of the caster’s Manipulation + Subterfuge),
with one roll made per night. The addict must
accumulate a number of successes equal to three times
the number of successes scored by the caster. The victim
may not indulge in his addiction over the time
needed to accumulate these successes. If he does so, all
accumulated successes are lost and he must begin anew
on the next night. Note that the Self-Control/Instinct
dice pool is reduced every night that the victim goes
without feeding his addiction.",V20 Corebook,223
Thaumaturgy,The Path of Corruption,5,Dependence,"Many former pawns of Clan Tremere claim to have
felt a strange sensation similar to depression when not
in the presence of their masters. This is usually attributed
to the blood bond, but is sometimes the result of
the vampire’s mastery of Dependence. The final power
of the Path of Corruption enables the vampire to tie
her victim’s soul to her own, engendering feelings of
lethargy and helplessness when the victim is not in her
presence or acting to further her desires."," The character engages the target in conversation.
The player rolls normally. The victim rolls
Self-Control/Instinct (difficulty equals the number of
successes scored by the caster + 3). Failure means that
the victim’s psyche has been subtly bonded to that of
the thaumaturge for one night per success rolled by the
caster.
A bonded victim is no less likely to attack his controller,
and feels no particular positive emotions toward
her. However, he is psychologically addicted to
her presence, and suffers a one-die penalty to all rolls
when he is not around her or performing tasks for her. Additionally, he is much less resistant to her commands,
and his dice pools are halved when he attempts
to resist her Dominate, Presence (or other mental or
emotional control powers), or mundane Social rolls.
Finally, he is unable to regain Willpower when he is
not in the thaumaturge’s presence.",V20 Corebook,223
Thaumaturgy,The Lure of Flames,1,Candle,"This path grants the thaumaturge the ability to conjure forth mystical flames — small fires at first, but skilled magicians may create great conflagrations. Fire created by this path is not “natural.” In fact, many vampires believe the flames to be conjured from Hell itself. The Lure of Flames is greatly feared, as fire is one of the surest ways to bring Final Death upon a vampire. See “Fire” (p. 297) for more information on how vampires suffer from flame.

Fire conjured by The Lure of Flames must be released for it to have any effect. Thus, a “palm of flame” does not burn the vampire’s hand and cause an aggravated wound (nor does it cause the caster to frenzy) — it merely produces light. Once the flame has been released, however, it burns normally and the character has no control over it."," The number of successes determines how accurately the vampire places the flame in his desired location (declared before the roll is made). One success is all that is necessary to conjure a flame in one’s hand, while five successes place a flame anywhere in the Kindred’s line of sight. Less successes mean that the flame appears somewhere at the Storyteller’s discretion — as a rough rule of thumb, the thaumaturge can accurately place a flame within 10 yards or meters of themselves per success. Individual descriptions are not provided for each level of this path — fire is fire, after all (including potentially causing frenzy in other vampires witnessing it). The chart below describes the path level required to generate a specific amount of flame. To soak the damage at all, a vampire must have the Fortitude Discipline. Fire under the caster’s control does not harm the vampire or cause him to frenzy, but fires started as a result of the unnatural flame affect the thaumaturge normally.
Candle (difficulty 3 to soak, one health level of aggravated damage/ turn)",V20 Corebook,218
Thaumaturgy,The Lure of Flames,2,Palm of Flame,"This path grants the thaumaturge the ability to conjure forth mystical flames — small fires at first, but skilled magicians may create great conflagrations. Fire created by this path is not “natural.” In fact, many vampires believe the flames to be conjured from Hell itself. The Lure of Flames is greatly feared, as fire is one of the surest ways to bring Final Death upon a vampire. See “Fire” (p. 297) for more information on how vampires suffer from flame.

Fire conjured by The Lure of Flames must be released for it to have any effect. Thus, a “palm of flame” does not burn the vampire’s hand and cause an aggravated wound (nor does it cause the caster to frenzy) — it merely produces light. Once the flame has been released, however, it burns normally and the character has no control over it.","The number of successes determines how accurately the vampire places the flame in his desired location (declared before the roll is made). One success is all that is necessary to conjure a flame in one’s hand, while five successes place a flame anywhere in the Kindred’s line of sight. Less successes mean that the flame appears somewhere at the Storyteller’s discretion — as a rough rule of thumb, the thaumaturge can accurately place a flame within 10 yards or meters of themselves per success. Individual descriptions are not provided for each level of this path — fire is fire, after all (including potentially causing frenzy in other vampires witnessing it). The chart below describes the path level required to generate a specific amount of flame. To soak the damage at all, a vampire must have the Fortitude Discipline. Fire under the caster’s control does not harm the vampire or cause him to frenzy, but fires started as a result of the unnatural flame affect the thaumaturge normally. 
Palm of flame (difficulty 4 to soak, one health level of aggravated damage/turn)",V20 Corebook,218
Thaumaturgy,The Lure of Flames,3,Campfire,"This path grants the thaumaturge the ability to conjure forth mystical flames — small fires at first, but skilled magicians may create great conflagrations. Fire created by this path is not “natural.” In fact, many vampires believe the flames to be conjured from Hell itself. The Lure of Flames is greatly feared, as fire is one of the surest ways to bring Final Death upon a vampire. See “Fire” (p. 297) for more information on how vampires suffer from flame.

Fire conjured by The Lure of Flames must be released for it to have any effect. Thus, a “palm of flame” does not burn the vampire’s hand and cause an aggravated wound (nor does it cause the caster to frenzy) — it merely produces light. Once the flame has been released, however, it burns normally and the character has no control over it.","The number of successes determines how accurately the vampire places the flame in his desired location (declared before the roll is made). One success is all that is necessary to conjure a flame in one’s hand, while five successes place a flame anywhere in the Kindred’s line of sight. Less successes mean that the flame appears somewhere at the Storyteller’s discretion — as a rough rule of thumb, the thaumaturge can accurately place a flame within 10 yards or meters of themselves per success. Individual descriptions are not provided for each level of this path — fire is fire, after all (including potentially causing frenzy in other vampires witnessing it). The chart below describes the path level required to generate a specific amount of flame. To soak the damage at all, a vampire must have the Fortitude Discipline. Fire under the caster’s control does not harm the vampire or cause him to frenzy, but fires started as a result of the unnatural flame affect the thaumaturge normally. 
Campfire (difficulty 5 to soak, two health levels of aggravated damage/turn)",V20 Corebook,218
